1	1996.08.28	1996.09.01	—
2	1997.03.05	1997.03.13	말레이시아, 싱가포르
3	1997.05.28	1997.06.01	런던, 미국, 뉴저지, 뉴욕
4	1997.09.08	1997.09.14	—
5	1998.05.24	1998.05.28	—
6	2002.06.11	2002.06.15	신혼여행, 싱가포르, 빈탄
7	2003.09.07	2003.09.09	베이징, 오라클월드 컨퍼런스
8	2003.10.19	2003.10.21	—
9	2004.03.18	2004.03.20	—
10	2004.09.12	2004.09.18	—
11	2004.10.31	2004.11.08	모스크바, 물산과 출장
12	2004.04.10	2004.10.09	모스크바, 물산과 출장, 교통카드
13	2005.10.15	2006.03.29	중국지역전문가
14	2006.09.03	2006.09.07	중국지역전문가
15	2006.11.26	2006.11.29	—
16	2006.12.17	2006.12.19	—
17	2007.07.15	2007.07.22	—
18	2008.03.16	2008.03.22	—
19	2008.05.13	2008.05.17	—
20	2008.05.21	2008.05.23	—
21	2008.06.03	2008.06.05	—
22	2008.08.24	2008.08.28	—
23	2008.09.22	2008.09.25	—
24	2008.10.21	2008.10.24	—
25	2008.11.05	2008.11.14	—
26	2008.11.30	2008.12.10	—
27	2009.01.11	2009.01.16	—
28	2009.02.10	2009.02.17	—
29	2009.02.27	2009.03.11	—
30	2009.03.18	2009.03.20	—
31	2009.04.07	2009.04.11	—
32	2009.04.21	2009.04.26	—
33	2009.05.20	2009.05.28	—
34	2009.07.03	2009.07.04	—
35	2009.07.06	2009.07.11	—
36	2009.07.21	2009.07.25	—
37	2009.07.30	2009.08.09	—
38	2009.08.19	2009.08.22	—
39	2009.09.28	2009.10.01	—
40	2009.10.11	2009.11.26	—
41	2009.12.02	2011.02.22	주재 귀임 후 베이징 근무
42	2011.02.26	2011.05.10	—
43	2011.05.15	2011.07.10	—
44	2011.07.17	2011.09.18	—
45	2011.09.20	2011.12.18	—
46	2011.12.24	2012.01.18	—
47	2012.01.29	2012.02.15	—
48	2012.02.16	2012.05.07	—
49	2012.05.10	2012.07.03	—
50	2012.07.11	2012.08.06	—
51	2012.08.11	2012.12.09	—
52	2012.12.13	2012.12.16	—
53	2012.12.22	2013.05.19	—
54	2013.05.22	2013.07.08	—
55	2013.07.16	2013.12.15	—
56	2013.12.21	2014.01.30	—
57	2014.02.09	2014.02.19	—
58	2014.02.23	2014.05.11	—
59	2014.05.13	2014.06.21	—
60	2014.06.29	2014.09.15	—
61	2014.09.24	2014.12.14	—
62	2014.12.21	2015.02.01	—
63	2015.02.02	2015.04.28	—
64	2015.05.02	2015.06.14	—
65	2015.06.19	2015.09.09	—
66	2015.09.12	2015.09.27	—
67	2015.09.27	2015.10.06	—
68	2015.10.07	2015.10.29	—
69	2015.11.01	2015.12.03	—
70	2015.12.25	2016.01.02	—
71	2016.01.11	2016.01.13	—
72	2016.01.21	2016.01.26	—
73	2016.03.03	2016.03.08	—
74	2016.03.16	2016.03.19	—
75	2016.03.23	2016.03.26	—
76	2016.04.09	2016.04.13	—
77	2016.05.24	2016.05.25	—
78	2016.06.03	2016.06.06	—
79	2016.07.07	2016.07.09	—
80	2016.08.02	2016.08.04	타이베이, 하문
81	2016.09.10	2016.09.15	—
82	2016.10.01	2016.10.04	—
83	2016.12.24	2017.01.01	—
84	2017.01.08	2017.01.10	상해 출장
85	2017.01.26	2017.01.30	—
86	2017.02.08	2017.02.11	베이징 출장
87	2017.03.05	2017.03.06	하문 출장
88	2017.04.30	2017.05.05	—
89	2017.05.17	2017.05.18	상해 출장
90	2017.05.23	2017.05.24	하문 출장
91	2017.06.14	2017.06.18	베이징 출장
92	2017.07.08	2017.07.16	뉴욕, 뉴헤이븐 EMBA연수
93	2017.08.23	2017.08.27	홍콩, 하문, 상해 출장
94	2017.09.18	2017.09.21	서안, 베이징 출장
95	2017.10.01	2017.10.08	—
96	2017.10.30	2017.11.02	타이베이, 하문 출장
97	2017.12.23	2018.01.01	—
98	2018.01.19	2018.01.21	상해 출장
99	2018.03.12	2018.03.13	상해 출장
100	2018.05.24	2018.05.27	베이징 출장
101	2018.06.27	2018.06.30	베이징 출장
102	2018.07.18	2018.07.24	베이징, 상해 출장
103	2018.07.30	2018.08.03	베이징 출장
104	2018.09.03	2018.09.04	베이징 출장
105	2018.10.18	2018.10.19	베이징 출장
106	2019.01.18	2019.01.21	베이징, 상해 출장
107	2019.02.11	2019.02.16	방콕, 뉴델리 출장
108	2019.02.18	2019.02.20	홍콩, 타이베이 출장
109	2019.03.07	2019.03.09	베이징 출장
110	2019.03.13	2019.03.16	하노이, 호치민 출장
111	2019.05.07	2019.05.11	싱가포르, 하노이 출장
112	2019.06.13	2019.06.16	—
113	2019.06.27	2019.06.29	베이징 출장
114	2019.08.01	2019.08.02	타이베이 출장
115	2019.10.07	2019.10.12	싱가포르, 하노이, 호치민 출장
116	2019.11.04	2019.11.08	타이베이, 홍콩, 방콕
117	2023.07.24	2023.08.09	상해 출장
118	2023.08.11	2023.08.20	유럽비전트립 (체코, 독일, 네덜란드)
119	2024.05.10	2024.05.13	오사카
120	2024.11.15	2024.11.17	타이베이
121	2024.12.14	2024.12.17	베이징 혼자
122	2025.05.12	2025.05.16	상해 출장
123	2025.05.22	2025.05.26	싱가포르 아내와 여행
124	2026.04.15	2026.04.23	윈난, 리장, 쿤밍 가족여행
125	2026.06.03	2026.06.08	충칭 보석과 여행
126	2026.07.17	2026.07.19	대련
